date,country_code,country_name,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index
2022-03-17,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-18,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-19,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-20,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-21,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-22,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-23,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-24,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-25,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-26,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-27,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-28,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-29,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-30,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-31,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-01,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-02,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-03,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-04,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-05,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-06,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-07,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-08,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-09,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-10,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-11,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-12,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
